pais_id;pais;provincia_id;provincia;departamento_id;departamento;sup_afectada;uni_med_id;cant_focos;año_inicial;año_final
32;Argentina;6;Buenos Aires;833;Tres Arroyos;2400;ha;1;2014;2014
32;Argentina;14;Córdoba;14;Calamuchita;50;ha;1;2015;2015
32;Argentina;18;Corrientes;56;General Alvear;257;ha;1;2012;2012
32;Argentina;18;Corrientes;28;Concepción;130;ha;2;2012;2012
32;Argentina;18;Corrientes;28;Concepción;5;ha;1;2013;2013
32;Argentina;18;Corrientes;28;Concepción;146;ha;1;2015;2015
32;Argentina;18;Corrientes;70;Goya;30;ha;1;2012;2012
32;Argentina;18;Corrientes;84;Itizaingó;294;ha;3;2012;2012
32;Argentina;18;Corrientes;84;Ituzaingo;378;ha;1;2013;2013
32;Argentina;18;Corrientes;84;Ituzaingo;158;ha;3;2014;2014
32;Argentina;18;Corrientes;112;Monte Caseros;300;ha;1;2012;2012
32;Argentina;18;Corrientes;112;Monte Caseros;450;ha;1;2013;2013
32;Argentina;18;Corrientes;119;Paso  de los Libres;450;ha;5;2012;2012
32;Argentina;18;Corrientes;119;Paso de los Libres;15;ha;2;2013;2013
32;Argentina;18;Corrientes;126;Saladas;20;ha;2;2015;2015
32;Argentina;18;Corrientes;147;San Martín;141;ha;1;2012;2012
32;Argentina;18;Corrientes;154;San Miguel;295;ha;3;2012;2012
32;Argentina;18;Corrientes;154;San Miguel;147;ha;1;2014;2014
32;Argentina;18;Corrientes;161;San Roque;10;ha;1;2012;2012
32;Argentina;18;Corrientes;168;Santo Tomé;1970;ha;18;2012;2012
32;Argentina;18;Corrientes;168;Santo Tomé;115;ha;2;2013;2013
32;Argentina;18;Corrientes;168;Santo Tomé;125;ha;3;2014;2014
32;Argentina;18;Corrientes;168;Santo Tomé;3;ha;2;2015;2015
32;Argentina;30;Entre Ríos;8;Colón;20;ha;1;2014;2014
32;Argentina;30;Entre Ríos;15;Concordia;241;ha;0;2012;2012
32;Argentina;30;Entre Ríos;15;Concordia;139;ha;0;2013;2013
32;Argentina;30;Entre Ríos;15;Concordia;21;ha;1;2014;2014
32;Argentina;30;Entre Ríos;15;Concordia;25;ha;7;2015;2015
32;Argentina;30;Entre Ríos;28;Federación;8;ha;0;2012;2012
32;Argentina;30;Entre Ríos;28;Federación;19;ha;2;2014;2014
32;Argentina;30;Entre Ríos;28;Federación;10;ha;1;2015;2015
32;Argentina;30;Entre Ríos;35;Federal;12;ha;0;2012;2012
32;Argentina;30;Entre Ríos;63;Islas del Ibicuy;90;ha;0;2012;2012
32;Argentina;30;Entre Ríos;70;La Paz;10;ha;0;2012;2012
32;Argentina;38;Jujuy;21;Dr Manuel Belgrano;21;ha;5;2015;2015
32;Argentina;38;Jujuy;21;Dr Manuel Belgrano;4;ha;10;2012;2012
32;Argentina;38;Jujuy;21;Dr Manuel Belgrano;1189;ha;10;2013;2013
32;Argentina;38;Jujuy;21;Dr Manuel Belgrano;1;ha;3;2014;2014
32;Argentina;38;Jujuy;14;El Carmen;1;ha;1;2012;2012
32;Argentina;38;Jujuy;14;El Carmen;1;ha;1;2013;2013
32;Argentina;38;Jujuy;14;El Carmen;8;ha;1;2014;2014
32;Argentina;38;Jujuy;14;El Carmen;1;ha;1;2015;2015
32;Argentina;38;Jujuy;35;Ledesma;8;ha;4;2012;2012
32;Argentina;38;Jujuy;35;Ledesma;60;ha;1;2013;2013
32;Argentina;38;Jujuy;42;Palpalá;741;ha;2;2012;2012
32;Argentina;38;Jujuy;42;Palpalá;561;ha;9;2013;2013
32;Argentina;38;Jujuy;42;Palpalá;15;ha;4;2014;2014
32;Argentina;38;Jujuy;42;Palpalá;22;ha;3;2015;2015
32;Argentina;38;Jujuy;56;San Antonio;0;ha;1;2012;2012
32;Argentina;38;Jujuy;56;San Antonio;24;ha;1;2013;2013
32;Argentina;38;Jujuy;56;San Antonio;1;ha;2;2014;2014
32;Argentina;38;Jujuy;63;San Pedro;63;ha;2;2013;2013
32;Argentina;38;Jujuy;70;Santa Bárbara;1;ha;1;2013;2013
32;Argentina;42;La Pampa;21;Capital;20;ha;2;2014;2014
32;Argentina;42;La Pampa;98;Loventué;5;ha;1;2015;2015
32;Argentina;50;Mendoza;14;General Alvear;12;ha;1;2013;2013
32;Argentina;50;Mendoza;14;General Alvear;671;ha;21;2014;2014
32;Argentina;50;Mendoza;14;General Alvear;295;ha;45;2015;2015
32;Argentina;50;Mendoza;105;San Rafael;9;ha;1;2012;2012
32;Argentina;50;Mendoza;105;San Rafael;38;ha;6;2013;2013
32;Argentina;50;Mendoza;105;San Rafael;69;ha;6;2015;2015
32;Argentina;54;Misiones;119;25 de Mayo;6;ha;0;2012;2012
32;Argentina;54;Misiones;7;Apostoles;71;ha;0;2012;2012
32;Argentina;54;Misiones;7;Apóstoles;12;ha;0;2013;2013
32;Argentina;54;Misiones;7;Apóstoles;14;ha;3;2014;2014
32;Argentina;54;Misiones;7;Apóstoles;2;ha;1;2015;2015
32;Argentina;54;Misiones;21;Candelaria;82;ha;0;2012;2012
32;Argentina;54;Misiones;21;Candelaria;25;ha;0;2013;2013
32;Argentina;54;Misiones;21;Candelaria;20;ha;2;2014;2014
32;Argentina;54;Misiones;21;Candelaria;110;ha;1;2015;2015
32;Argentina;54;Misiones;28;Capital;156;ha;0;2012;2012
32;Argentina;54;Misiones;28;Capital;1;ha;1;2015;2015
32;Argentina;54;Misiones;35;Concepción;5;ha;0;2012;2012
32;Argentina;54;Misiones;35;Concepción;3;ha;0;2013;2013
32;Argentina;54;Misiones;42;Eldorado;5;ha;0;2013;2013
32;Argentina;54;Misiones;56;Guaraní;1;ha;0;2012;2012
32;Argentina;54;Misiones;63;Iguazú;35;ha;1;2014;2014
32;Argentina;54;Misiones;70;Leandro N Alem;95;ha;0;2012;2012
32;Argentina;54;Misiones;70;Leandro N Alem;3;ha;0;2013;2013
32;Argentina;54;Misiones;91;Oberá;5;ha;1;2014;2014
32;Argentina;54;Misiones;98;San Ignacio;24;ha;0;2012;2012
32;Argentina;54;Misiones;105;San Javier;6;ha;0;2012;2012
32;Argentina;70;San Juan;84;Rivadavía;5;ha;2;2015;2015
32;Argentina;90;Tucuman;14;Cruz Alta;;ha;1;2014;2014
32;Argentina;90;Tucuman;63;Lules;1;ha;1;2014;2014
32;Argentina;90;Tucuman;98;Tafí del Valle;1;ha;1;2014;2014
